variable,group,value
1033,espA,1
1033,espB,1
1033,espD,1
1033,espF,1
1033,espFu/tccP,1
1033,espG,1
1033,espK,1
1033,espL1,1
1033,espL2,1
1033,espL4,1
1033,espM1,1
1033,espN,1
1033,espP,1
1033,espR1,1
1033,espX1,1
1033,espX4,1
1033,espX5,1
1033,espX7/nleL,1
1033,etgA,1
1033,fdeC,1
1033,fepA,1
1033,fepB,1
1033,fepC,1
1033,fepD,1
1033,fepG,1
1033,fes,1
1033,fimA,1
1033,fimB,1
1033,fimC,1
1033,fimD,1
1033,fimE,1
1033,fimF,1
1033,fimG,1
1033,fimH,1
1033,fimI,1
1033,flhA,1
1033,gspC,1
1033,gspD,1
1033,gspE,1
1033,gspF,1
1033,gspG,1
1033,gspH,1
1033,gspI,1
1033,gspJ,1
1033,gspK,1
1033,gspL,1
1033,gspM,1
1033,hlyA,1
1033,hlyB,1
1033,hlyC,1
1033,hlyD,1
1033,iucA,1
1033,iucB,1
1033,iucC,1
1033,iucD,1
1033,iutA,1
1033,map,1
1033,nleA/espI,1
1033,nleB1,1
1033,nleC,1
1033,nleE,1
1033,nleF,1
1033,nleG7',1
1033,nleH2,1
1033,ompA,1
1033,paa,1
1033,rcsB,1
1033,sepD,1
1033,sepL,1
1033,sepQ/escQ,1
1033,sepZ/espZ,1
1033,stxA,1
1033,stxB,1
1033,waaF,1
1033,yagV/ecpE,1
1033,yagW/ecpD,1
1033,yagX/ecpC,1
1033,yagY/ecpB,1
1033,yagZ/ecpA,1
1033,ykgK/ecpR,1
1033,algA,0
1033,espY1,0
1033,fyuA,0
1033,gnd,0
1033,gtrB,0
1033,iroB,0
1033,iroC,0
1033,iroD,0
1033,iroE,0
1033,iroN,0
1033,irp1,0
1033,irp2,0
1033,ybtA,0
1033,ybtE,0
1033,ybtP,0
1033,ybtQ,0
1033,ybtS,0
1033,ybtT,0
1033,ybtU,0
1033,ybtX,0
1033,chuA,0
1033,chuS,0
1033,chuT,0
1033,chuU,0
1033,chuV,0
1033,chuW,0
1033,chuX,0
1033,chuY,0
1033,clbA,0
1033,clbB,0
1033,clbC,0
1033,clbD,0
1033,clbE,0
1033,clbF,0
1033,clbG,0
1033,clbH,0
1033,clbI,0
1033,clbJ,0
1033,clbK,0
1033,clbL,0
1033,clbM,0
1033,clbN,0
1033,clbO,0
1033,clbP,0
1033,clbQ,0
1033,clbS,0
1033,clpV/tssH,0
1033,galF,0
1033,kpsD,0
1033,kpsM,0
1033,kpsT,0
1033,papA,0
1033,papB,0
1033,papC,0
1033,papD,0
1033,papE,0
1033,papF,0
1033,papG,0
1033,papH,0
1033,papI,0
1033,papJ,0
1033,papK,0
1033,papX,0
1033,tcpC,0
1033,vat,0
1033,vgrG/tssI,0
1033,vipB/tssC,0
1033,ADP,0
1033,cesF,0
1033,clpB,0
1033,espH,0
1033,espJ,0
1033,espM2,0
1033,espR3,0
1033,espR4,0
1033,espW,0
1033,espX2,0
1033,espX6,0
1033,espY2,0
1033,espY3,0
1033,espY4,0
1033,nleB2,0
1033,nleD,0
1033,nleH1,0
1033,sat,0
1033,shuA,0
1033,shuS,0
1033,shuT,0
1033,shuU,0
1033,shuV,0
1033,shuX,0
1033,shuY,0
1033,stcE,0
1033,stx1A,0
1033,stx2A,0
1033,stx2B,0
1033,tir,0
1033,toxB,0
1033,manB,0
1033,manC,0
1294,acrA,1
1294,acrB,1
1294,allB,1
1294,aslA,1
1294,cesAB,1
1294,cesD,1
1294,cesD2,1
1294,cesL,1
1294,cesT,1
1294,csgB,1
1294,eae,1
1294,east1,1
1294,efa1,1
1294,entB,1
1294,entC,1
1294,entD,1
1294,entE,1
1294,entF,1
1294,entS,1
1294,escC,1
1294,escD,1
1294,escE,1
1294,escF,1
1294,escG,1
1294,escI,1
1294,escJ,1
1294,escL,1
1294,escN,1
1294,escO,1
1294,escR,1
1294,escS,1
1294,escT,1
1294,escU,1
1294,escV,1
1294,espA,1
1294,espB,1
1294,espD,1
1294,espF,1
1294,espFu/tccP,1
1294,espG,1
1294,espK,1
1294,espL1,1
1294,espL2,1
1294,espL4,1
1294,espM1,1
1294,espN,1
1294,espP,1
1294,espR1,1
1294,espX1,1
1294,espX4,1
1294,espX5,1
1294,espX7/nleL,1
1294,etgA,1
1294,fdeC,1
1294,fepA,1
1294,fepB,1
1294,fepC,1
1294,fepD,1
1294,fepG,1
1294,fes,1
1294,fimA,1
1294,fimB,1
1294,fimC,1
1294,fimD,1
1294,fimE,1
1294,fimF,1
1294,fimG,1
1294,fimH,1
1294,fimI,1
1294,flhA,1
1294,gspC,1
1294,gspD,1
1294,gspE,1
1294,gspF,1
1294,gspG,1
1294,gspH,1
1294,gspI,1
1294,gspJ,1
1294,gspK,1
1294,gspL,1
1294,gspM,1
1294,hlyA,1
1294,hlyB,1
1294,hlyC,1
1294,hlyD,1
1294,iucA,1
1294,iucB,1
1294,iucC,1
1294,iucD,1
1294,iutA,1
1294,map,1
1294,nleA/espI,1
1294,nleB1,1
1294,nleC,1
1294,nleE,1
1294,nleF,1
1294,nleG7',1
1294,nleH2,1
1294,ompA,1
1294,paa,1
1294,rcsB,1
1294,sepD,1
1294,sepL,1
1294,sepQ/escQ,1
1294,sepZ/espZ,1
1294,stxA,1
1294,stxB,1
1294,waaF,1
1294,yagV/ecpE,1
1294,yagW/ecpD,1
1294,yagX/ecpC,1
1294,yagY/ecpB,1
1294,yagZ/ecpA,1
1294,ykgK/ecpR,1
1294,algA,0
1294,espY1,0
1294,fyuA,0
1294,gnd,0
1294,gtrB,0
1294,iroB,0
1294,iroC,0
1294,iroD,0
1294,iroE,0
1294,iroN,0
1294,irp1,0
1294,irp2,0
1294,ybtA,0
1294,ybtE,0
1294,ybtP,0
1294,ybtQ,0
1294,ybtS,0
1294,ybtT,0
1294,ybtU,0
1294,ybtX,0
1294,chuA,0
1294,chuS,0
1294,chuT,0
1294,chuU,0
1294,chuV,0
1294,chuW,0
1294,chuX,0
1294,chuY,0
1294,clbA,0
1294,clbB,0
1294,clbC,0
1294,clbD,0
1294,clbE,0
1294,clbF,0
1294,clbG,0
